ONO                    PNO                    QTY                    CNO                    ENO                    RECEIVED                  SHIPPED                   
---------------------- ---------------------- ---------------------- ---------------------- ---------------------- ------------------------- ------------------------- 
1020                   10506                  1                      1111                   1000                   10-DEC-94                 12-DEC-94                 
1020                   10507                  1                      1111                   1000                   10-DEC-94                 12-DEC-94                 
1020                   10508                  2                      1111                   1000                   10-DEC-94                 12-DEC-94                 
1020                   10509                  3                      1111                   1000                   10-DEC-94                 12-DEC-94                 
1021                   10601                  4                      1111                   1000                   12-JAN-95                 15-JAN-95                 
1022                   10601                  1                      2222                   1001                   13-FEB-95                 20-FEB-95                 
1022                   10701                  1                      2222                   1001                   13-FEB-95                 20-FEB-95                 
1023                   10800                  1                      3333                   1000                   20-JUN-97                 _                         
1023                   10900                  1                      3333                   1000                   20-JUN-97                 _                         

